ticker,first_date,last_date,row_count
4004.T,2003-01-02,2026-03-13,5756
4005.T,2003-01-02,2026-03-13,5756
4021.T,2003-01-02,2026-03-13,5756
4041.T,2003-01-02,2026-03-13,5756
4042.T,2003-01-02,2026-03-13,5756
4043.T,2003-01-02,2026-03-13,5756
4045.T,2003-01-02,2026-03-13,5756
4061.T,2003-01-02,2026-03-13,5756
4062.T,2003-01-02,2026-03-13,5756
4063.T,2003-01-02,2026-03-13,5756
4151.T,2003-01-02,2026-03-13,5756
4183.T,2003-01-02,2026-03-13,5756
4188.T,2003-01-02,2026-03-13,5756
4208.T,2003-01-02,2026-03-13,5756
4272.T,2003-01-02,2026-03-13,5756
4307.T,2003-01-02,2026-03-13,5756
4324.T,2003-01-02,2026-03-13,5756
4385.T,2018-06-19,2026-03-13,1893
4452.T,2003-01-02,2026-03-13,5756
4502.T,2003-01-02,2026-03-13,5756
4503.T,2003-01-02,2026-03-13,5756
4506.T,2003-01-02,2026-03-13,5756
4507.T,2003-01-02,2026-03-13,5756
4519.T,2003-01-02,2026-03-13,5756
4523.T,2003-01-02,2026-03-13,5756
4543.T,2003-01-02,2026-03-13,5756
4568.T,2003-01-02,2026-03-13,5756
4578.T,2010-12-15,2026-03-13,3749
4631.T,2003-01-02,2026-03-13,5756
4661.T,2003-01-02,2026-03-13,5756
4689.T,2003-10-28,2026-03-13,5543
4704.T,2003-01-02,2026-03-13,5756
4751.T,2003-01-02,2026-03-13,5756
4755.T,2003-01-02,2026-03-13,5756
4901.T,2003-01-02,2026-03-13,5756
4902.T,2003-01-02,2026-03-13,5756
4911.T,2003-01-02,2026-03-13,5756
5016.T,2025-03-19,2026-03-13,241
5019.T,2006-10-24,2026-03-13,4763
5020.T,2003-01-02,2026-03-13,5756
5101.T,2003-01-02,2026-03-13,5756
5108.T,2003-01-02,2026-03-13,5756
5201.T,2003-01-02,2026-03-13,5756
5202.T,2003-01-02,2026-03-13,5756
5214.T,2003-01-02,2026-03-13,5756
5232.T,2003-01-02,2026-03-13,5756
5233.T,2003-01-02,2026-03-13,5756
5301.T,2003-01-02,2026-03-13,5756
5332.T,2003-01-02,2026-03-13,5756
5333.T,2003-01-02,2026-03-13,5756
5401.T,2003-01-02,2026-03-13,5756
5406.T,2003-01-02,2026-03-13,5756
5411.T,2003-01-02,2026-03-13,5756
5541.T,2003-01-02,2026-03-13,5756
5631.T,2003-01-02,2026-03-13,5756
5703.T,2003-01-02,2026-03-13,5756
5706.T,2003-01-02,2026-03-13,5756
5707.T,2003-01-02,2026-03-13,5756
5711.T,2003-01-02,2026-03-13,5756
5713.T,2003-01-02,2026-03-13,5756
5714.T,2003-01-02,2026-03-13,5756
5715.T,2003-01-02,2026-03-13,5756
5801.T,2003-01-02,2026-03-13,5756
5802.T,2003-01-02,2026-03-13,5756
5803.T,2003-01-02,2026-03-13,5756
5831.T,2022-10-03,2026-03-13,843
5901.T,2003-01-02,2026-03-13,5756
6098.T,2014-10-16,2026-03-13,2807
6103.T,2003-01-02,2026-03-13,5756
6113.T,2003-01-02,2026-03-13,5756
6146.T,2003-01-02,2026-03-13,5756
6178.T,2015-11-04,2026-03-13,2551
6273.T,2003-01-02,2026-03-13,5756
